pub_account,pub_account_id,region,am_name,pub_app,pub_app_id,pub_market_id,pub_daily_spend,total_combos,exempted_combo_count,missing_combo_count,missing_combos,dk_app_daily_spend_exempted,exempted_combo_network_daily,missing_combo_network_daily,dk_combo_network_daily_total,penetration_rate,est_uplift_missed_daily
OAKEVER GAMES PTE LTD,5b975fcedc73276356309362,APAC,Aria Gao,Meowdoku And,69e0a7d4b6a93be17be97116,com.oakever.meowdoku,6974.7269,10,2,8,"Combo3,Combo4,Combo5,Combo6,Combo7,Combo8,Combo9,Combo10",0.0,22824.9941,19801.6378,42626.6319,0.0,0.0
SuperSonic Studios,5e3692d21cd3cb0018dd4329,EMEA,Beth Taylor-Lowen,Going Balls,5fa029b49f4c0275a7cf1372,1499081620,771.2801,10,4,6,"Combo4,Combo5,Combo7,Combo8,Combo9,Combo10",0.0,32023.6546,10602.9773,42626.6319,0.0,0.0
Gametion,561e8d956b8d90f61a0026fb,Americas,Rutvij Jadav,Ludo King,57bfce9a3ce6f97623000025,com.ludo.king,802.8256,10,4,6,"Combo4,Combo5,Combo7,Combo8,Combo9,Combo10",0.0,32023.6546,10602.9773,42626.6319,0.0,0.0
Voodoo,56d55c72562b9c353800000d,EMEA,Hadil Salameh,Paper.io 2,5b99403f45e58040ccdd7177,io.voodoo.paper2,3814.5932,10,4,6,"Combo4,Combo5,Combo7,Combo8,Combo9,Combo10",0.0,32023.6546,10602.9773,42626.6319,0.0,0.0
SmartNews,67d0848db62d6b0011ccb35e,Americas,Lisa Tolentino,SmartNews for docomo,69680f5935536525d31e36b2,com.nttdocomo.android.mymagazine,802.949,10,6,4,"Combo5,Combo8,Combo9,Combo10",0.0,37079.4684,5547.1635,42626.6319,0.0,0.0
Easybrain Ltd,57d1b461ae2b57d903000027,EMEA,Dina Eraksan,Number Match IOS,5fdfae0fc5d4c9ab8efa6701,1545567989,7299.1855,10,6,4,"Combo3,Combo4,Combo6,Combo7",0.0,28372.1576,14254.4743,42626.6319,0.0,0.0
Gametion,561e8d956b8d90f61a0026fb,Americas,Rutvij Jadav,Ludo King,57bd636e47a977322200001a,993090598,806.2307,10,4,6,"Combo4,Combo5,Combo7,Combo8,Combo9,Combo10",0.0,32023.6546,10602.9773,42626.6319,0.0,0.0
Voodoo,56d55c72562b9c353800000d,EMEA,Hadil Salameh,Ball Blast,5af56c332803314ab33837f0,1383187127,829.4025,10,4,6,"Combo4,Combo5,Combo7,Combo8,Combo9,Combo10",0.0,32023.6546,10602.9773,42626.6319,0.0,0.0
LOTUM Media GmbH,561e8d936b8d90f61a0014ca,EMEA,Hadil Salameh,4 Pics 1 Word Android,515aff900964d0f21f00000e,de.lotum.whatsinthefoto.us,850.5224,10,6,4,"Combo5,Combo8,Combo9,Combo10",0.0,37079.4684,5547.1635,42626.6319,0.0,0.0
Voodoo,56d55c72562b9c353800000d,EMEA,Hadil Salameh,Flappy Dunk,5950d4eef493bbec54002184,1235581326,901.4023,10,4,6,"Combo4,Combo5,Combo7,Combo8,Combo9,Combo10",0.0,32023.6546,10602.9773,42626.6319,0.0,0.0
IEC Global Pty Ltd.,5b1f351e3eddeb10ce7fa54c,APAC,Nam Trinh,Water Sort Puzzle iOS,5f2d0c03f503650001351c59,1514542157,916.6048,10,2,8,"Combo3,Combo4,Combo5,Combo6,Combo7,Combo8,Combo9,Combo10",0.0,22824.9941,19801.6378,42626.6319,0.0,0.0
Easybrain Ltd,57d1b461ae2b57d903000027,EMEA,Dina Eraksan,Number Sums IOS,64de05bdabb23eee2a179c21,6449427809,917.2234,10,8,2,"Combo4,Combo7",0.0,37570.8181,5055.8138,42626.6319,0.0,0.0
FALCON GLOBAL LTD.,5a57133a3610bbb671016ff3,APAC,Nam Trinh,Cake Sort - Color Puzzle Game IOS PM D2M,64781b96dac1393f38b604ca,6448392144,892.843,10,2,8,"Combo3,Combo4,Combo5,Combo6,Combo7,Combo8,Combo9,Combo10",0.0,22824.9941,19801.6378,42626.6319,0.0,0.0
Scopely,561e8d966b8d90f61a003414,Americas,Natalie Kenyon,New YAHTZEE® With Buddies,5915396ce3b1195326000413,1206967173,705.3155,10,4,6,"Combo4,Combo5,Combo7,Combo8,Combo9,Combo10",0.0,32023.6546,10602.9773,42626.6319,0.0,0.0
LLC East-Games,62ea666c62b76e001b3eca4f,EMEA,Kseniia Fesenko,Tanks Blitz,62f1051ffaf12b2a7ad9a1d1,com.tanksblitz,739.3919,10,4,6,"Combo4,Combo5,Combo7,Combo8,Combo9,Combo10",0.0,32023.6546,10602.9773,42626.6319,0.0,0.0
Code Dish GmbH,64075f57d6da1900141e5aba,EMEA,Hadil Salameh,PiggyKingdom,65802019356fbd1f45ff6c6f,com.olleyo.piggy.king.free,732.502,10,6,4,"Combo5,Combo8,Combo9,Combo10",0.0,37079.4684,5547.1635,42626.6319,0.0,0.0
Ketchapp,561e8d956b8d90f61a0030cf,EMEA,Hadil Salameh,Rider,590b5df4004ccfdd3b000a35,1229618961,517.3778,10,4,6,"Combo4,Combo5,Combo7,Combo8,Combo9,Combo10",0.0,32023.6546,10602.9773,42626.6319,0.0,0.0
Scopely,561e8d966b8d90f61a003414,Americas,Natalie Kenyon,Stumble Guys,6413698f6e7664ba85e052b5,1541153375,555.163,10,4,6,"Combo4,Combo5,Combo7,Combo8,Combo9,Combo10",0.0,32023.6546,10602.9773,42626.6319,0.0,0.0
INJOY TECHNOLOGY PTE.LTD.,5f687c6436ca1e0016d5fd6d,APAC,Seven Tu,Shareit Lite,65016fb65946c49eb49f6691,shareit.lite,559.5803,10,4,6,"Combo4,Combo5,Combo7,Combo8,Combo9,Combo10",0.0,32023.6546,10602.9773,42626.6319,0.0,0.0
Easybrain Ltd,57d1b461ae2b57d903000027,EMEA,Dina Eraksan,Sudoku - Classic Sudoku Puzzle Game,592fc29cc10833a4760012c6,1193508329,13380.144,10,6,4,"Combo3,Combo4,Combo6,Combo7",0.0,28372.1576,14254.4743,42626.6319,0.0,0.0
Severex,57c05f735b2bd4fa24000030,,Sales Ops,figgerits,63246d89d3a73abffd99d98b,1636821805,595.6902,10,4,6,"Combo4,Combo5,Combo7,Combo8,Combo9,Combo10",0.0,32023.6546,10602.9773,42626.6319,0.0,0.0
Playsimple Games,568b8cb3bb2089a80600000a,Americas,Rutvij Jadav,PlaySimple Cryptogram,66e16cd7d7770a6a369725c3,in.playsimple.cryptogram,614.3112,10,4,6,"Combo4,Combo5,Combo7,Combo8,Combo9,Combo10",0.0,32023.6546,10602.9773,42626.6319,0.0,0.0
Dots,561e8d976b8d90f61a004735,EMEA,Louis Wallworth,Twdots Android,5b7c63748734f02f83929e90,com.weplaydots.twodotsandroid,635.4355,10,4,6,"Combo4,Combo5,Combo7,Combo8,Combo9,Combo10",0.0,32023.6546,10602.9773,42626.6319,0.0,0.0
OAKEVER GAMES PTE LTD,5b975fcedc73276356309362,APAC,Aria Gao,Arrows GO! Android,69845ea1e6f73fe2b5840739,com.oakever.arrows,13278.6625,10,2,8,"Combo3,Combo4,Combo5,Combo6,Combo7,Combo8,Combo9,Combo10",0.0,22824.9941,19801.6378,42626.6319,0.0,0.0
Voodoo,56d55c72562b9c353800000d,EMEA,Hadil Salameh,Paper.io 2,5b83e2f3ebcb4a0f62d80e85,1423046460,13243.7217,10,8,2,"Combo4,Combo7",0.0,37570.8181,5055.8138,42626.6319,0.0,0.0
HITAPPS GAMES LTD,6021599b8b3e5600159fcc76,EMEA,Beth Taylor-Lowen,Connect Words Android,66101aeac0c070078a9775cf,com.hitappsgames.connectwords,665.0986,10,4,6,"Combo4,Combo5,Combo7,Combo8,Combo9,Combo10",0.0,32023.6546,10602.9773,42626.6319,0.0,0.0
Puzzle1Studio,5d130cdf37472100170775e1,APAC,Ives Cui,Bubble Pop Origin! Puzzle Game,5de4583d2510a20017316fb9,1487907763,679.9213,10,4,6,"Combo4,Combo5,Combo7,Combo8,Combo9,Combo10",0.0,32023.6546,10602.9773,42626.6319,0.0,0.0
OAKEVER GAMES PTE LTD,5b975fcedc73276356309362,APAC,Aria Gao,Meowdoku iOS,69e0a6fab6a93be17be970f3,6761760135,15211.7956,10,2,8,"Combo3,Combo4,Combo5,Combo6,Combo7,Combo8,Combo9,Combo10",0.0,22824.9941,19801.6378,42626.6319,0.0,0.0
Lihuhu,5d8880f1444f7200181b5e1d,APAC,Nam Trinh,Match Triple,61405fa047e8ae6d60071605,1530876832,698.5963,10,4,6,"Combo3,Combo4,Combo6,Combo7,Combo9,Combo10",0.0,27469.0506,15157.5813,42626.6319,0.0,0.0
