rtb_connection_id,rtb_connection_name,rtb_daily_spend,filter_type,blocked_app_id,blocked_app_name,blocked_account_id,blocked_account_name,app_daily_revenue,uplift_score
6880d8a434bf17191290ccf6,Exchange - RTB - Zmaticoo - US Video -  Android WL,3266.71,allow,63e362fd4e7898566e42de21,Blossom Match - Merge Flowers,6364b12e3ad6c7001711d812,Fodream Limited,1192.23,3894683.05
620cd2590276f33eb98aa329,Exchange - RTB - BigoDsp US banner,1758.39,allow,667bec734d6765df32fe9171,Magic Sort!,664e27f28ffbbf0011f1d3b8,Grand Games,2214.07,3893210.67
6880d8a434bf17191290ccf6,Exchange - RTB - Zmaticoo - US Video -  Android WL,3266.71,allow,650a64add38855ef54aaed95,Sudoku-iOS,606c7bac7a37680015801ad8,jiayou,1191.68,3892862.81
620cd2590276f33eb98aa329,Exchange - RTB - BigoDsp US banner,1758.39,allow,65a880066c7debc0a6b15c39,XMEye,658a2fc2ab2b4800112923f1,HANGZHOU JF SOFTWARE CO LTD,2213.74,3892622.31
6880d8a434bf17191290ccf6,Exchange - RTB - Zmaticoo - US Video -  Android WL,3266.71,allow,65ab6489388f89926d733a0a,Merge Restyle,5c99bb9a419bc70011bbebcd,"HIGGS TECHNOLOGY CO.,LIMITED",1191.51,3892314.31
67c0fee526d63f95b4dc7b44,RTB - RTBHouse PL Video Bundle Test,1051.2,allow,675696667913198c9ecadaac,Screw 3D Android(CD),58b91be73e5caab04b000296,Mavericks Mobile,3702.28,3891844.73
67c0fee526d63f95b4dc7b44,RTB - RTBHouse PL Video Bundle Test,1051.2,allow,6295ff7c3987b19e74b43c3e,Geometry Dash Lite Android,6276c973f70e7c001895be79,RobTop Games AB,3699.73,3889168.0
6880d8a434bf17191290ccf6,Exchange - RTB - Zmaticoo - US Video -  Android WL,3266.71,allow,5fd720c84a9ae275930efc9e,OK캐쉬백,5fbcac40ba624b0015a61709,SKplanet,1190.54,3889160.35
68a44e4ac6004eae5468c4d2,RTB - Temu Hybrid iOS Exp,2618.61,allow,659677f9c64ca439507c3d73,Spades Stars - Card Game,64803209bfd9aa0011593484,Bluetile Games,1484.96,3888530.81
61e94ccaaf20c2cac3ecdc55,Exchange - RTB - Ignite Video 01,2894.66,deny,5d0d6125fe3d6f00112ceb97,iOS Mahjong,561e8d936b8d90f61a000455,Mobility Ware,1343.02,3887597.75
69334e3c8a10c39937e87752,RTB - Magnite Direct Placements - Americas Banner,1399.14,allow,5d81c924bf4aa20017e95920,Phase 10 iOS,5b0fc58f19829714e5ad0d2f,Mattel163 Limited,2778.5,3887498.72
5f8f4a270e55980016c34dd7,RTB - Bidmachine - Banner US,3222.96,deny,6748805c2cbb484556728dc9,tiptp1777_com-free-tiptop-vpn-proxy,6297c4bc012073001b3df035,Yandex Inc.,1205.97,3886794.82
620deedf524ea89e56ea7acf,Exchange - RTB - Advlion US EP Video 5142,3650.44,deny,5255b961b39f75841900000e,My Talking Tom - appstore,561e8d946b8d90f61a001509,Outfit7,1064.5,3885877.57
68a44e4ac6004eae5468c4d2,RTB - Temu Hybrid iOS Exp,2618.61,allow,5ba9510159302707328acb9e,Android Castle,561e8d936b8d90f61a000455,Mobility Ware,1483.85,3885623.2
6880d8a434bf17191290ccf6,Exchange - RTB - Zmaticoo - US Video -  Android WL,3266.71,allow,61e8fb44a901a69d420e6b39,Sudoku-GP,606c7bac7a37680015801ad8,jiayou,1189.3,3885107.32
66e4916183f51c6e7581f0c7,RTB - Albatross EU Video & Display,1621.19,allow,69845ea1e6f73fe2b5840739,Arrows GO! Android,5b975fcedc73276356309362,OAKEVER GAMES PTE LTD,2395.38,3883370.41
64ecf86c2f56a48df271382d,RTB - LoopMe Static Interstitial,1005.69,deny,6765b3b90b2f71906881a1cf,Screwdom_com.ig.screwdom,5ce32f41e15f77001148e36d,Zego Global Pte Ltd,3859.02,3880967.97
6880d8a434bf17191290ccf6,Exchange - RTB - Zmaticoo - US Video -  Android WL,3266.71,allow,5ea35bf014514a0001c0cd9e,Harry Potter,56c3a378adccd1cb7e00000a,Zynga,1187.86,3880385.88
69334e3c8a10c39937e87752,RTB - Magnite Direct Placements - Americas Banner,1399.14,allow,5c0de1a896a52a2ba6187dd8,Magic Tiles 3: Piano Game,567acc79dea141ea32000008,Amanotes (PT),2772.98,3879774.91
68a44e4ac6004eae5468c4d2,RTB - Temu Hybrid iOS Exp,2618.61,allow,63021b704b6012824b206f74,Ball Bounce,619b548fc9c9c1001796f1f6,Gimica GmbH,1481.54,3879582.18
66e4916183f51c6e7581f0c7,RTB - Albatross EU Video & Display,1621.19,allow,62e93c3863ecb481c7bc9b94,Hotel Master,5fc671cbba624b0015a61bf1,Saygames LTD,2391.99,3877867.43
68a44e4ac6004eae5468c4d2,RTB - Temu Hybrid iOS Exp,2618.61,allow,649acaccd89a1b3212020d26,NovelFlow_iOS,649a9d5a29925f0011c63229,RNOVEL PTELTD,1480.67,3877303.66
69334e3c8a10c39937e87752,RTB - Magnite Direct Placements - Americas Banner,1399.14,allow,60112a9e7e07f1c9680afb81,Dice Dreams,60112a3ed3c4a000156a31d9,Superplay,2770.94,3876917.37
66e4916183f51c6e7581f0c7,RTB - Albatross EU Video & Display,1621.19,allow,68f9f643adc1b994d6b7c171,Livescore,68f9f5db75ceafc7a8ee6155,LiveScore,2390.19,3874956.78
677f95457514db2924226e26,RTB - Webeye - Primary - MREC,3477.38,deny,6756d6829d0f2cfb524eed56,Novus Smart Transfer,6756d5101e787500114ab99c,Novus Tech Apps PTY LTD,1113.25,3871174.14
6880d8a434bf17191290ccf6,Exchange - RTB - Zmaticoo - US Video -  Android WL,3266.71,allow,68b584d80cc4dedb7b9cfaf7,Sticker GO!,68b57bc85828fa59037e71c3,Ganko srl,1185.01,3871092.87
5eb9d39f6285bc0016aa70df,RTB - YouAppi Banner,1654.83,deny,670f76be7bccdeafa20f717b,com.gogo.launcher,66d6b6896f113e001198b89c,Xiaomi Group,2337.14,3867564.75
