pub_account,pub_account_id,region,am_name,pub_app,pub_app_id,pub_market_id,pub_daily_spend,level,block_type,block_value,adv_title,network_share,adv_daily_spend,est_uplift_daily
jiayou,606c7bac7a37680015801ad8,APAC,Sunton Sun,Block Blast-ios,624d1d920ea4f6b17766ae63,1617391485,83765.1469,app,domain,betvictor.com,,0.00040773,1820.763,34.1534
jiayou,606c7bac7a37680015801ad8,APAC,Sunton Sun,Block Blast-ios,624d1d920ea4f6b17766ae63,1617391485,83765.1469,app,market id,564194423,BetVictor Sports Bets & Casino,0.00040772,1820.7273,34.1527
jiayou,606c7bac7a37680015801ad8,APAC,Sunton Sun,Block Juggle—GP,633549fb3901c096a37b2893,com.block.juggle,53701.3297,app,domain,kashkick.com,,0.00063474,2834.5292,34.0866
jiayou,606c7bac7a37680015801ad8,APAC,Sunton Sun,Block Juggle—GP,633549fb3901c096a37b2893,com.block.juggle,53701.3297,app,market id,com.superlive.liveapp,SuperLive- Live Stream & Chat,0.00063301,2826.7683,33.9932
jiayou,606c7bac7a37680015801ad8,APAC,Sunton Sun,Block Blast-ios,624d1d920ea4f6b17766ae63,1617391485,83765.1469,app,domain,bolegames.com,,0.00040566,1811.51,33.9798
WONDERFUL TYCOON LIMITED,683bc1bb4c15ca0011ad2b91,APAC,Sunton Sun,,,,9607.5382,account,domain,hungrystudio.com,,0.00353479,15785.0485,33.9606
Zynga,56c3a378adccd1cb7e00000a,Americas,Lisa Tolentino,Toy Blast,626841d0d03ae7f7395fdc62,890378044,1859.9849,app,market id,553834731,Candy Crush Saga,0.01821655,81348.4256,33.8825
Duolingo,68799f38babc2000110fe539,Americas,Matthew Hong,,,,45204.0952,account,domain,fanatics.com,,0.00074944,3346.7247,33.8778
Mobility Ware,561e8d936b8d90f61a000455,Americas,Natalie Kenyon,,,,99938.5051,account,market id,6762178742,Grand Fortune Club,0.00033746,1506.959,33.725
Activision Blizzard Media (King),622b9915ac4bf1001715b790,Americas,Kasey Geist,,,,87292.3779,account,market id,1514665962,Underdog Sports,0.00038605,1723.9374,33.6988
Badoo,5aafdd4a0520357fabf54aa6,EMEA,Beth Taylor-Lowen,,,,13667.4902,account,domain,playtika.com,,0.00246446,11005.37,33.683
SmartNews,67d0848db62d6b0011ccb35e,Americas,Lisa Tolentino,,,,17169.5169,account,market id,com.sgiggle.production,"Tango: Live Stream, Video Chat",0.00196154,8759.5259,33.6787
Zynga,56c3a378adccd1cb7e00000a,Americas,Lisa Tolentino,Toy Blast,62684160e2a0ef078b8fc737,net.peakgames.amy,1409.5637,app,domain,king.com,,0.02381471,106347.7328,33.5684
Duolingo,68799f38babc2000110fe539,Americas,Matthew Hong,,,,45204.0952,account,domain,mercadolibre.com.mx,,0.00074128,3310.2689,33.5087
jiayou,606c7bac7a37680015801ad8,APAC,Sunton Sun,Block Juggle—GP,633549fb3901c096a37b2893,com.block.juggle,53701.3297,app,market id,com.k8888.ocdos3115.wfmohx,,0.00062371,2785.2389,33.4938
