domain,rtb_account_id,country,network_spend_7d,network_daily_spend,route_key
king.com,5f6413c9612b1a0015099993,DE,25136.955280530194,3590.9936,"('king.com', '5f6413c9612b1a0015099993', 'DE')"
sportsbook.draftkings.com,5bc0e10e25c7d7796ebe8fc0,US,24844.444664999988,3549.2064,"('sportsbook.draftkings.com', '5bc0e10e25c7d7796ebe8fc0', 'US')"
playdogsoft.com,5f6413c9612b1a0015099993,US,24805.199845829484,3543.6,"('playdogsoft.com', '5f6413c9612b1a0015099993', 'US')"
grantcash.com,5f6413c9612b1a0015099993,US,24777.153690609022,3539.5934,"('grantcash.com', '5f6413c9612b1a0015099993', 'US')"
homes.com,5e56893e6c71d40018de3ad1,US,24720.27993985821,3531.4686,"('homes.com', '5e56893e6c71d40018de3ad1', 'US')"
superplay.co,60c86e9b217f2400175cfe6b,US,24655.387717000136,3522.1982,"('superplay.co', '60c86e9b217f2400175cfe6b', 'US')"
temu.com,5f6413c9612b1a0015099993,NO,24638.997312495238,3519.8568,"('temu.com', '5f6413c9612b1a0015099993', 'NO')"
shein.com,5e56893e6c71d40018de3ad1,GB,24578.98915534891,3511.2842,"('shein.com', '5e56893e6c71d40018de3ad1', 'GB')"
j188.help,5f6413c9612b1a0015099993,MM,24548.452728149146,3506.9218,"('j188.help', '5f6413c9612b1a0015099993', 'MM')"
juno-beauty-pe.com,5caf77f1e04ca66a2d4bcd7c,JP,24310.150597510037,3472.8787,"('juno-beauty-pe.com', '5caf77f1e04ca66a2d4bcd7c', 'JP')"
temu.com,618a29d9ef3f360017e9acca,GB,24212.008634775357,3458.8584,"('temu.com', '618a29d9ef3f360017e9acca', 'GB')"
temu.com,5f6413c9612b1a0015099993,IL,24084.059740556964,3440.58,"('temu.com', '5f6413c9612b1a0015099993', 'IL')"
temu.com,67055dc40f05bd0011e279ae,NZ,24062.125276769806,3437.4465,"('temu.com', '67055dc40f05bd0011e279ae', 'NZ')"
crowncoinscasino.com,60770b778d0e4a0015f20ea9,US,23946.80029962005,3420.9715,"('crowncoinscasino.com', '60770b778d0e4a0015f20ea9', 'US')"
shopee.com.br,5e89fcef428f870016d9e994,BR,23759.142736409976,3394.1632,"('shopee.com.br', '5e89fcef428f870016d9e994', 'BR')"
temu.com,67055dc40f05bd0011e279ae,AE,23689.98677109441,3384.2838,"('temu.com', '67055dc40f05bd0011e279ae', 'AE')"
productmadness.com,5f6413c9612b1a0015099993,AU,23673.64085955714,3381.9487,"('productmadness.com', '5f6413c9612b1a0015099993', 'AU')"
pkrbet0.com,5f6413c9612b1a0015099993,PK,23635.999188103957,3376.5713,"('pkrbet0.com', '5f6413c9612b1a0015099993', 'PK')"
lessmore.games,5f6413c9612b1a0015099993,PK,23351.366254881366,3335.9095,"('lessmore.games', '5f6413c9612b1a0015099993', 'PK')"
higgsgames.com,5f6413c9612b1a0015099993,ID,23082.802074144754,3297.5432,"('higgsgames.com', '5f6413c9612b1a0015099993', 'ID')"
supercell.com,5f6413c9612b1a0015099993,JP,23064.153442537157,3294.8791,"('supercell.com', '5f6413c9612b1a0015099993', 'JP')"
tiktok.com,5e89fcef428f870016d9e994,TH,23010.68828795006,3287.2412,"('tiktok.com', '5e89fcef428f870016d9e994', 'TH')"
igg.com,5f6413c9612b1a0015099993,RU,22793.214053791387,3256.1734,"('igg.com', '5f6413c9612b1a0015099993', 'RU')"
apps.rustore.ru,5f6413c9612b1a0015099993,RU,22748.619577395737,3249.8028,"('apps.rustore.ru', '5f6413c9612b1a0015099993', 'RU')"
tiktok.com,5f6413c9612b1a0015099993,TH,22713.85717134371,3244.8367,"('tiktok.com', '5f6413c9612b1a0015099993', 'TH')"
temu.com,67055dc40f05bd0011e279ae,GT,22331.01336128368,3190.1448,"('temu.com', '67055dc40f05bd0011e279ae', 'GT')"
dreamgames.com,5f6413c9612b1a0015099993,GB,22189.730192934137,3169.9615,"('dreamgames.com', '5f6413c9612b1a0015099993', 'GB')"
turo.com,5f6413c9612b1a0015099993,US,22150.906050831305,3164.4152,"('turo.com', '5f6413c9612b1a0015099993', 'US')"
